Sex	Year of birth	Mean height (cm)	Mean height lower 95% uncertainty interval (cm)	Mean height upper 95% uncertainty interval (cm)
Men	1896	161.16	154.48	167.75
Men	1896	163.33	158.45	168.32
Men	1896	160.39	155.40	165.40
Men	1896	169.72	167.42	172.02
Men	1896	163.39	156.88	169.73
Men	1896	162.17	154.81	169.48
Men	1896	161.71	155.12	168.35
Men	1896	162.34	157.54	167.05
Men	1896	161.85	155.99	168.02
Men	1896	168.95	166.94	170.94
Men	1896	168.03	165.48	170.56
Men	1896	161.67	155.87	168.01
Men	1896	161.73	155.17	168.36
Men	1896	156.71	152.45	160.91
Men	1896	158.58	154.14	162.80
Men	1896	164.85	160.58	169.14
Men	1896	167.73	160.85	174.73
Men	1896	167.20	165.20	169.30
Men	1896	158.13	153.22	162.94
Men	1896	162.51	157.09	168.02
Men	1896	161.75	155.05	168.38
Men	1896	161.27	156.50	166.06
Men	1896	156.32	150.28	162.36
Men	1896	168.42	163.66	173.12
Men	1896	166.19	160.58	171.85
Men	1896	163.21	160.80	165.66
Men	1896	155.79	148.98	162.19
Men	1896	166.46	160.01	172.95
Men	1896	163.49	157.93	168.86
Men	1896	161.59	154.87	168.58
Men	1896	164.86	159.42	170.08
Men	1896	154.88	150.24	159.61
Men	1896	163.51	158.85	168.05
Men	1896	170.72	167.83	173.77
Men	1896	161.36	155.52	167.25
Men	1896	164.89	159.17	170.46
Men	1896	160.69	157.30	164.15
Men	1896	160.97	159.20	162.74
Men	1896	159.71	156.92	162.49
Men	1896	157.30	152.37	162.25
Men	1896	159.72	154.36	164.93
Men	1896	161.88	157.42	166.43
Men	1896	169.45	164.86	174.06
Men	1896	157.68	153.73	161.71
Men	1896	162.64	157.74	167.66
Men	1896	168.13	163.64	172.53
Men	1896	159.88	155.67	164.05
Men	1896	162.73	157.13	168.27
Men	1896	168.00	164.04	171.91
Men	1896	169.97	166.71	173.12
Men	1896	161.51	154.77	168.24
Men	1896	164.47	159.32	169.46
Men	1896	160.26	155.27	165.25
Men	1896	161.84	156.11	167.26
Men	1896	155.63	150.06	161.55
Men	1896	158.64	155.14	162.20
Men	1896	158.47	153.18	163.49
Men	1896	162.12	154.89	169.23
Men	1896	163.79	158.52	169.22
Men	1896	170.87	167.19	174.59
Men	1896	161.28	156.00	166.71
Men	1896	168.60	164.21	173.15
Men	1896	167.74	165.58	169.92
Men	1896	166.41	163.05	169.67
Men	1896	170.04	165.67	174.54
Men	1896	162.68	156.88	168.33
Men	1896	160.71	155.29	166.27
Men	1896	164.41	158.65	170.39
Men	1896	167.16	164.49	169.88
Men	1896	162.37	157.52	167.11
Men	1896	162.52	159.03	166.07
Men	1896	159.46	155.41	163.39
Men	1896	164.52	159.26	169.58
Men	1896	153.88	148.82	158.93
Men	1896	163.36	157.90	168.82
Men	1896	162.85	156.09	169.73
Men	1896	159.91	154.56	165.22
Men	1896	161.69	155.05	168.33
Men	1896	158.37	153.44	163.41
Men	1896	166.31	163.76	168.82
Men	1896	170.54	167.09	174.00
Men	1896	161.96	160.25	163.61
Men	1896	154.65	151.64	157.66
Men	1896	157.06	153.93	160.21
Men	1896	159.26	152.71	165.55
Men	1896	166.36	162.42	170.28
Men	1896	163.40	159.93	166.80
Men	1896	164.71	163.00	166.39
Men	1896	163.06	158.36	167.93
Men	1896	156.17	155.33	157.02
Men	1896	158.89	154.82	162.99
Men	1896	161.23	153.97	168.87
Men	1896	165.72	159.97	171.28
Men	1896	166.84	164.90	168.74
Men	1896	160.51	155.84	165.11
Men	1896	160.25	154.13	166.35
Men	1896	152.88	147.87	157.90
Men	1896	169.38	164.68	173.96
Men	1896	160.71	156.39	164.87
Men	1896	161.32	155.62	167.13
Men	1896	158.67	152.99	164.23
Men	1896	161.26	156.44	166.03
Men	1896	168.93	165.19	172.60
Men	1896	167.33	163.17	171.71
Men	1896	166.51	160.17	173.13
Men	1896	158.68	153.01	164.11
Men	1896	159.21	153.87	164.44
Men	1896	157.57	154.07	161.09
Men	1896	155.83	150.58	160.84
Men	1896	165.09	159.50	170.72
